Comments,Emotions
thank u so much buddy,gratitude
This was just what I needed,approval
Great information thanks,gratitude
thank you,gratitude
Stanford Introduction for Statistical Learning with Python ¿?,neutral
"Good, specific, concise, and superb advice. 👍👍",admiration
"useless video, just ask ChatGPT",annoyance
"Any ML architecture is either regression or classification at the very core level. NLP transformers basically output logits, which are turned into probability. Even most of classification is another layer on top of regression.",neutral
Any resources to build ai agents? Would love a video on this.,love
Brilliant ❤❤❤,admiration
"this video is so much info packed, yet so well detailed, the perfect video for a beginner! loved this video, because of ur experience in the field, you gave such good advice! Thanks Egor!",gratitude
"note: companies always ask for experince and PhD  for roles related to AI  , so don't be shocked",realization
You lost me at needing both good software engineering skills and good programming skills. What is the difference?,curiosity
ESLR is super dense.,admiration
Absolute gold,neutral
This video is like a Bible for whoever is planning to start on this long journey,neutral
@NikhilKhandare,neutral
This hit me hard. I’ve been jumping between AI courses with no clear path. Your book list just gave me the roadmap I needed. 🔥,disappointment
great video and increasing my knowledge,admiration
Great video! Very insightful and full of information!!. Quick question: Is your video and/or audio AI-generated?,admiration
"Hey mate, this was awesome information - thanks for sharing. I have heard a lot about the book called - Introduction to Statistical Learning by the same authors (Elements of Statistical Learning). Have you come across this book ? any views?",admiration
❤❤,neutral
What is the realistic duration of studying to get first job as data scientist ?,curiosity
"I' have learned and practiced C++ years ago ...and after that Java for 5 years more easily (in practice ) bc of its graphic librairy, ...and then JavaFX for relative modern design..But Python ( an object oriented language to).... - unfortunately?- not a "" typed data language in external"", has become the most used in AI ...i wonder why 🤔",surprise
14:10 I would love to recommend MIT deep leanring playlist.,love
"love your content , keep it up dude",love
"You gave us all the resources to learn AI, but the first question is : Is it worth to learn AI in 2025 ?",curiosity
Honstly! did you red all those books for your journey as an AI engineer ?,curiosity
thank you!,gratitude
Over 4 years experience 😅😂,pride
"Can I build an AI startup, if I master AI ?",curiosity
"Hi Egor ,Thank you for the video.very informative for a Non IT background to start AI learning self peace from where to start .",gratitude
"Recently discovered your channel and am really appreciating the content! I'm a final year MEng CS and AI student and am going to start polishing my coding skills and projects before the end of the year to land a PhD or Grad Role as a ML/AI Engineer. Really appreciate the videos and advice, keep it up and best of luck with your career!!",admiration
"But reading books takes time and effort which I don't have. I am far too busy (and smart) to be reading books. I would rather binge watch a flashy course at 2x speed at 2 AM (after my 4 hour gaming sessions) and  finish it in a week. After a week of highly active engagement with the material, I can confidently slap ""AI Expert"" on my resume and wait for the silicon valley to drool over my resume, or I could sell AI automations to businesses and make easy $100K+/month or more!
Books is for kids or big dum dums who don't know how to play it smart.

PS: Forgot to mention I watch Rick and Morty!",neutral
"Thank you for your recommendations.  I really like AI ML  stuff,  I wish to be AI Engineer ,  but I thought I am not very good at math and stats hence I was confused should I go for it but finally I have decided to try go for an AI  career.  I have a question ,  do organizations expect a Masters Degree from candidates ?  I have undergraduate degree but  I have absolutely no patience to get into Post graduate .",confusion
"Thanks for the video.  You mention here it's good to learn backend languages as well, like Java, Go & Rust. Python is also used as a backend language. I wish to know what you are specifically trying to say by mentioning these three languages.? ",gratitude
"The guy behind the “Hands-On Machine Learning with Scikit-Learn, Keras & Tensorflow” is coming out with a new book in October 2025 for PyTorch!

Its called “Hands-On Machine Learning with Scikit-Learn and PyTorch”",neutral
Could you please create a video on how can a Security expert build security skills for AI…??,curiosity
"A lot great info packed in this video, nice job.",admiration
"Hi, This is the first video I have seen from your youtube channel and this is phenomenal knowledge given by an experienced person and I as an AI enthusiast aged 16, it quite  builds my knowledge where I can differentiate the Gen-AI and part of Maths and Statistics, as I want to go into the field of AI and De-Fi currently thinking and Thank you for giving the immense knowledge.
Love from high school teenage boy as an AI enthusiast.",admiration
"don't take any stupid courses, AI will replace before you understand the logic.",annoyance
"For software engineers transitioning into AI engineering, wouldn't focusing on AI engineering topics alone be sufficient? How valuable do you think it is to also invest time in machine learning and deep learning?",confusion
"Excellent video I’ve used a lot of these resources, but some were new. You’ve done an enormous service to those starting out and for those a bit further along. Keep up the good work, I salute you.😍",admiration
"Interesting resources. Is LISP still ""a thing"", an AI programming language, in today's world??",confusion
"Any good material, course for Time series analysis, forecasting??",curiosity
"Your channel is a goldmine  for beginners , no bs advice , actionable and straight-forward ❤",approval
"Hi Egor. Wonderful content. Although many of us, who are in the field, already know about most of these resources, the way you put together a learning path and kept the list of most important resources  to something that's manageable is praiseworthy. Thanks!",admiration
how did you get a job in machine learning and ai when you had zero experience,surprise
Wonderful resources ❤🫡 keep it up,admiration
"For python, Fluent Python book is the best to know why python is used for ML/IA",neutral
u would look very pretty as a girl,admiration
"Hey, im a subscriber from india and i just wanted to show my appreciation for the videos you make for people like me who are confused in this field. I am currently in the phase where i'll join a university and im confused, Which branch should i take? Like the university i am joining has different courses like computer science engineering, computer science with ai specialisation, btech in AIML, and btech in AI and data science. So as far as i researched, the aiml course will teach basics of computer science but not go deep into it. So, im really confused what should i apply for? The good old computer science engineering or Computer science with ai specialisation or just AIML.",confusion
"my question is whether we can start from any of these fields or there is a step by step process, like we have to start from ml concepts,then shift to deep learning or something like that.",confusion
Amazing recommendations!,admiration
"Hey Egor, Thx for the info… I hv 20+ yrs exp in semiconductor industry mostly into chip designing with very basic coding knowledge. I hv stopped hands-on for last 8-9 yrs after getting into mgmt ladder… but I do guide teams technically whenever needed….I am looking to learn AI primarily for better opportunities within/outside my organisation and looking to achieve better efficiency & productivity in semiconductor or related industry…where AI penetration is not fully in yet, I do see there is still a lot of scope to make a bigger impact using AIML….

My queries :-

1. What to focus on AI domain and what expertise should I develop from your recommended AI roadmap to fulfil my goal in next 1-2 years? 
2. I am wondering how much time would it take to master or atleast get sufficient knowledge based on your experience towards my goal. 

Pls suggest if you or anyone has any suggestions or inputs … Thx in advance !",curiosity
"What about python, talk about please im completely lost!",confusion
The first person who's actually explained what AI Engineering is that's understandable!,approval
"I really search something like this,though this is not my field just for fun, but this is confusion killer of many students of computer science in india.useful!",confusion
"Hi Egor, thanks a lot for the book recommendations! I noticed that Practical Statistics for Data Scientists was published in 2020—would you say it's still relevant today?",gratitude
"And if someone wants to learn coding, learn anything else than Python.^^ 🤣🤣🤣🤣🤣🤣",neutral
5:58 you mean decades?,curiosity
"too many things to do this year.... have a board exam in feb to much pressure but want to do this man life sucks...
will try to give time for this too",optimism
"Very impressive content and thanks for sharing. Any thoughts - how to learn AI Agents, Agentic workflow, understand frameworks like Autogen, Langgraph, langchain etc. - books which explain these concepts and how to use them business applications",admiration
Where are the TL;DR guys?,curiosity
Do you have a complete book to learn AI complete mastery which includes everything step by step,neutral
"Thank you very much. I want to start my PhD in Data Science, even though my background is only in Mathematics Education. This video really helped me find relevant sources. Great job!",admiration
"A young person recommending books in 2025?! AWESOME!
No empty promises, no zero to hero in 2 months and the message that ""working with"" is pretty different than ""understanding"". This is the most honest video I've seen on the matter!",admiration
"How old are you, my bro? (just subscribed)",approval
How much time it will take to master,realization
"I'd say many of your recommended books need statistics on math background. Like you have to understand generalized linear models before reading ""The elements of Statistical Learning""",neutral
"Fantastic video, so well structured! Thank you!",admiration
What about Sebastian Raschka - Build a Large Language Model?,curiosity
"What do you think of the fast ai course?

Thx for the video!!",curiosity
How do you guys would create a study schedule? I have a big problem defining this in my life. Is there any recommendation?,curiosity
June 23/2025,neutral
Are there any alternatives for Hands on ML book that subs TF with Pytorch?,neutral
Looks like oreilly marketing video. There are many other books from manning that are better then these,neutral
"this was a rlly cool video, please make more similar ! <3",admiration
"the AI Engineering book felt like it was written by AI. pretty thin on useful info and just hype about AI and ""here's my story"".",neutral
"All the suggestions of these courses are super misleading. I guarantee to you even if you read all these books and complete the courses, you will NOT get a job as an AI engineer. You don't need to cover all these maths in depth. Plus, finishing all these courses won't give even a fraction of experience on how AI is used and scaled in the enterprises. very outdated",disapproval
thank you for the video,gratitude
wow,surprise
damn,neutral
There’s a HumbleBundle available currently (Jun '25) that contains this very book 👍🏼,approval
"The only book advertised on Youtube, by various youtubers, for months over and over.",neutral
Thank you for the list,gratitude
You literally didn't list the most important machine learning book all Masters and PhD students have and are taught with in University. The Bishop book - Deep learning. I doubt you worked for 4 years without even listing the most important book in the field. Seriously these youtubers are so shit and know nothing,annoyance
Hhhhhhhh😂😂😂,amusement
is the good for yourself and you to be happy,caring
the editor should chill on the posterize time a bit ...😂,joy
Great video and suggestions. Thanks!,admiration
It's the first time i see someone say the benefit information reallly really awesome thank you hope to continue publishing these incredible videos ❤❤,admiration
The prompt dictionary on amazon!,neutral
"Hey i am 23 yr old from india.Don't have degree yet, planning to get online degree by side .i started learning ai /ml engineering. if i started sharing learning and projects on the x and linkedin will this help to get the opportunities like internship,remote job or freelancing gig? what else do  you suggest ? please reply  . Your content is gold ! Straight to the point spot on !",curiosity
why you made your animations choppy🥴🤦,confusion
Very good video. Do you have specific book/articles to read if we want to develop a good streaming platform videos recommendation? Thanks in advance,admiration
I be recommending you every time on Reddit lol. You dropping this knowledge is really appreciated :),admiration
"moment i heard leetcode, i know this is complete waste of time.",annoyance
Bro do i need to study all the sources or anyone ?,curiosity
"I’m sceptical of books like Practical Statistics for Data Scientists and Mathematics for Machine Learning. I’ve read both, and the topics are explained superficially, not in a way that’s accessible for beginners. I’d only recommend them if you're already familiar with the subject and just want a quick refresher, without expecting to explore anything in depth.

In the case of Mathematics for Machine Learning, you're better off choosing dedicated introductory books for each major topic. For example, one focused solely on linear algebra, another on calculus, another on probability and statistics, and so on.",approval
"Is there any youtuber that has a PHD in machine learning or deep learning that has book recommendations on how to master machine learning and deep learning basics, intermediate, advanced and research level topics by giving his book recommendations on every one of these stages? 
This is what I'm searching for months but can't find. Actual recommendations on all those stages by someone actually properly qualified to talk about all those stages.",curiosity
And also this book maybe “Hands-On APIs for AI and Data Science: Python Development with FastAPI” O’Reilly,neutral
"Romans 15:13- “May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit.”",optimism
"Your content is some of the most straightforward and hype-free I’ve found on this topic. I watched one of your videos a few months ago, and it really set me on the right path to develop my DSc/ML skills from scratch. Thank you!",gratitude
Mojo worth to learn  ?,approval
Ai won't take over our job? What if after learning all this and no jobs is available for it anymore,curiosity
0:19 Does anyone know where the icon illustrations in the video are from?,confusion
"Hi Please share resource recommendation for time series, CNN, reinforcement learning",neutral
thanks for the video! 6:33 any recommendations for ML methods for time-series analysis?,curiosity
Please could you paste here all links though you talked about in this video?Thanks.,gratitude
"""Neural Networks for Babies"" taught me everything I needed to know",neutral
